Sample	Heterozygous_Count	Total_Variant_Sites	Missing_Genotypes
WB13	2267769	8274416	0
CW2212	1400525	8274416	0
VR14	1546309	8274416	0
DN26	1728993	8274416	0
BU1031	1064105	8274416	0
CW2214	2313763	8274416	0
BU04	1010144	8274416	0
PZ29	1884881	8274416	0
LI04	1353800	8274416	0
WE2430	1600445	8274416	0
WE2431	1723697	8274416	0
FC11	1208397	8274416	0
MI21	1835842	8274416	0
WB20	1746471	8274416	0
