Jackknife_ID Sum_fab_HIGH	Sum_fba_HIGH	Sum_fab_MODERATE	Sum_fba_MODERATE	Sum_fab_LOW	Sum_fba_LOW	Sum_fab_MODIFIER	Sum_fba_MODIFIER	Sum_fab_INTERGENIC	Sum_fba_INTERGENIC
53	425.254496	376.759349	13426.623866	11357.068977	38537.490168	33591.322256	2351492.210138	2036782.620568	1279486.525928	1106704.055690
54	428.136138	378.518389	13448.764411	11371.278155	38551.201478	33586.897978	2345942.134332	2031550.834625	1277795.875855	1104951.061624
55	429.035570	379.802543	13464.318030	11393.674740	38675.007440	33721.730835	2347196.714450	2033787.920298	1276096.679925	1104168.937033
56	429.909938	380.165927	13440.228929	11369.301025	38653.724883	33686.924523	2346861.493678	2032931.151095	1276344.281492	1103999.743993
57	429.732868	380.640371	13434.914697	11369.086613	38591.341309	33636.934689	2345550.641629	2031594.152563	1276469.333385	1104049.823140
58	430.369913	380.713780	13482.595722	11405.669730	38692.711460	33741.742250	2347609.737854	2033264.993089	1274263.793557	1102022.388994
59	428.226966	378.782521	13366.896622	11310.493862	38578.466819	33627.478489	2361392.735419	2045340.789843	1286206.409802	1112452.262129
5	429.508108	379.655763	13469.121304	11396.065514	38688.240139	33723.667285	2346755.912475	2032283.034972	1278099.752950	1105229.479321
60	425.830582	377.969399	13338.294988	11286.629602	38180.011407	33313.655599	2353585.737919	2038625.293894	1282102.843287	1108841.136361
61	425.976710	376.474997	13275.023440	11229.404789	38326.982133	33419.595282	2346625.841598	2032749.111913	1278092.703278	1105450.252792
62	423.494581	376.098801	13374.782334	11330.514188	38305.112864	33455.563008	2343308.918906	2031776.618206	1277192.274428	1105637.724176
63	427.801226	379.427922	13415.552870	11361.305973	38553.630992	33640.723777	2347027.632700	2033298.858678	1276592.709293	1104206.088857
64	428.542451	378.969147	13420.720714	11358.928957	38473.659715	33548.567561	2346519.025241	2033095.429934	1278041.885528	1105813.221604
65	425.629446	374.994020	13377.261371	11306.334586	38439.274068	33515.954101	2349776.537611	2035568.910253	1281374.115115	1108248.935985
66	427.985570	379.603679	13493.803804	11419.274836	38766.291763	33802.909945	2365724.173384	2049570.939658	1288629.132735	1114719.759485
67	429.350090	379.713402	13416.321431	11353.470619	38586.603205	33622.668790	2351315.408667	2036193.956994	1278228.921092	1105244.182871
68	428.773296	379.141261	13430.551101	11362.364124	38549.194692	33614.374400	2346264.375003	2032202.774069	1276927.181545	1104230.991737
69	429.121365	380.355384	13470.830046	11400.414787	38683.768799	33739.172911	2347002.079839	2033482.961589	1276693.501255	1104538.129178
6	426.088726	377.941684	13324.427323	11273.531364	38422.108233	33498.750549	2345973.923831	2031646.251630	1281002.326911	1107835.768037
70	429.953815	381.048439	13447.441400	11376.578593	38637.533031	33684.258518	2346374.264863	2032102.602835	1274023.430115	1101668.956649
71	427.377552	379.777480	13460.148963	11391.527173	38605.096230	33658.649368	2346055.952780	2032482.505688	1278941.855676	1106297.602141
72	429.312874	380.146135	13468.293755	11399.694278	38666.577977	33716.596159	2359539.229561	2044052.000813	1285112.915170	1111518.960932
73	429.670292	380.504563	13458.309497	11388.099324	38597.144416	33660.168333	2349859.456184	2035469.688295	1278965.531772	1106186.247122
74	429.892514	380.582593	13469.706111	11387.454090	38636.533029	33671.864108	2346913.372383	2032122.585049	1278042.107743	1104947.173129
75	429.581340	380.116116	13431.807781	11371.553848	38583.206632	33625.150842	2346646.656803	2032571.226323	1278316.637461	1105481.340835
76	427.525948	377.572088	13389.435981	11324.060133	38411.503899	33485.514379	2344695.849132	2031593.657000	1279536.036829	1107041.749582
77	428.716693	380.220409	13439.930419	11368.495462	38521.955770	33561.737750	2347146.527499	2033176.450915	1279038.630625	1106343.563959
78	428.432350	379.080763	13463.982430	11381.989104	38712.474482	33737.776665	2366282.702668	2049623.862016	1288953.015557	1114813.502733
79	428.854930	379.643115	13448.737006	11375.746332	38596.848774	33659.324513	2349446.080449	2034849.076340	1278391.999843	1105548.486893
7	425.853878	376.076912	13400.594693	11325.665147	38496.393205	33538.332797	2346200.688598	2032072.581837	1277874.197102	1105109.611460
80	430.987590	381.198124	13422.991321	11361.415834	38556.818385	33634.416617	2345346.329258	2031858.051809	1276589.987185	1104186.154465
81	429.052855	379.780056	13429.011723	11361.960208	38622.283115	33670.341521	2347867.362620	2033639.999691	1275751.564533	1103256.106381
82	428.534349	379.681752	13480.861924	11409.214557	38705.091865	33729.305664	2346646.349145	2032868.549510	1275540.722616	1103393.239825
83	430.581024	380.918073	13480.754833	11399.890800	38742.599858	33766.101373	2359555.168755	2044025.924098	1284624.676284	1111116.487539
84	425.675103	376.959014	13333.064153	11264.336105	38347.023855	33417.515107	2351079.840208	2035655.698437	1281123.767180	1107702.961390
85	428.691517	378.715182	13407.161588	11348.295192	38591.423632	33652.299083	2345899.456206	2031981.167015	1279107.264847	1106151.554656
86	429.476858	378.970725	13464.934948	11393.764097	38642.112054	33702.201701	2345235.749085	2031810.778562	1278204.108206	1105633.156403
87	430.331024	379.687013	13408.973245	11345.198209	38512.673432	33569.132956	2347620.668547	2033692.616044	1280197.022989	1107389.507928
88	430.559496	380.915232	13530.330280	11448.613505	38858.921175	33879.815512	2366229.735497	2049638.789866	1288317.716134	1114267.306503
89	428.027451	377.459702	13406.435664	11350.747533	38450.736224	33527.021145	2352476.340596	2037887.322437	1280822.885111	1107882.380169
8	426.473120	377.627088	13441.529006	11374.104168	38593.018851	33648.476644	2344535.461214	2031779.675936	1275994.121591	1104273.616613
90	423.047786	374.656426	13357.662977	11310.092433	38246.201620	33363.587713	2345681.560662	2032050.275277	1280011.005145	1107215.627657
91	413.394341	364.965102	13061.034844	11023.071515	37995.413839	33093.687721	2348989.170601	2034439.908863	1279411.046405	1106516.020774
92	418.666252	372.152092	13211.503140	11172.043797	37969.058436	33079.226924	2353293.092508	2038158.677433	1282024.472700	1108671.098295
93	428.635612	378.448923	13391.837180	11321.756913	38411.326114	33468.554902	2348976.740425	2034666.045155	1280930.598305	1107909.568580
94	427.263347	378.998376	13398.716820	11337.272483	38401.717739	33513.057656	2345652.383591	2032719.340070	1278140.088174	1105931.680256
95	421.436611	373.188992	13294.626732	11247.942010	38192.452059	33327.867643	2344008.668602	2030796.259984	1276818.717127	1104610.765180
96	428.102606	377.802245	13408.952734	11333.453113	38369.064707	33443.147409	2349916.449452	2035253.552721	1280819.400043	1107654.080906
97	419.821252	369.266634	13379.560208	11310.968181	38259.686764	33340.941436	2345422.727318	2030509.302052	1279741.059508	1106319.545097
98	426.635159	377.823218	13400.707158	11332.192981	38427.699979	33506.430679	2343581.284306	2029974.045042	1274717.422494	1102395.581387
99	428.808513	378.790692	13447.799060	11370.938869	38559.815172	33605.017986	2347058.597739	2032722.698808	1276762.329573	1104199.956197
9	428.309707	379.253322	13445.471392	11384.116233	38532.681503	33599.464927	2346219.999735	2032498.510814	1276154.101741	1103958.666659
