Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
34	native	15304	55930	439191	1594748	1163282	3795494	80722836	270139740	35285090	119377646
35	introduced	15987	55432	472151	1590528	1220838	3778866	84710880	268380186	36910033	118029010
35	native	15325	56046	441676	1602614	1168870	3813108	80788634	270293338	35158411	118922418
36	introduced	16070	55650	473140	1593592	1224878	3791096	85218438	269897258	37203203	118903412
36	native	15394	56264	442485	1605568	1172761	3825562	81277447	271830984	35442853	119814294
37	introduced	15976	55360	469012	1580678	1213121	3756670	84824546	268797108	37243980	119135880
37	native	15307	55968	438607	1592640	1161208	3790708	80901487	270717950	35482479	120043594
38	introduced	16003	55408	471013	1586454	1217931	3769738	84700991	268306898	37115069	118672970
38	native	15332	56014	440494	1598390	1166134	3804090	80791848	270227384	35362783	119581416
39	introduced	15972	55356	470044	1583056	1218328	3769826	84718123	268301040	37151338	118759308
39	native	15307	55970	439633	1594988	1166535	3804108	80804561	270231528	35399455	119669796
3	introduced	15916	55252	470713	1585156	1218731	3771104	84747327	268418138	37118474	118688372
3	native	15245	55872	440272	1597050	1166869	3805422	80826425	270346010	35361945	119599770
40	introduced	15974	55352	470543	1584902	1218147	3769608	84754836	268444042	37196491	118915084
40	native	15305	55982	440049	1596856	1166067	3803882	80835802	270359664	35434095	119821554
41	introduced	15907	55244	469006	1580196	1213898	3757500	84692149	268342048	37171049	118872262
41	native	15249	55850	438800	1592074	1162382	3791454	80776132	270252916	35410603	119775368
42	introduced	15978	55364	470371	1584104	1216091	3764340	84659109	268183576	37059207	118496596
42	native	15310	55988	439962	1596024	1164422	3798738	80743909	270107322	35304431	119402032
43	introduced	15905	55196	469820	1582412	1215318	3761636	84692729	268340612	37096196	118641688
43	native	15233	55806	439402	1594246	1163726	3795560	80772436	270251178	35339900	119542070
44	introduced	16075	55680	473052	1593350	1224665	3790212	85561782	271073516	37506824	119944112
44	native	15397	56306	442478	1605342	1172548	3824602	81606185	273014198	35732758	120859484
45	introduced	15900	55248	468895	1579990	1215100	3761580	84800500	268716934	37158579	118859604
45	native	15243	55866	438758	1591950	1163492	3795602	80887784	270644130	35405105	119770128
46	introduced	16007	55432	468607	1579200	1214987	3761366	84622348	268050142	37018319	118344758
46	native	15336	56044	438346	1591004	1163336	3795564	80709094	269968836	35265862	119248934
47	introduced	15957	55276	470039	1582476	1217704	3767896	84758034	268409444	37182903	118851968
47	native	15282	55890	439693	1594308	1165887	3802064	80845818	270324288	35425937	119755898
48	introduced	15925	54938	468454	1578126	1212792	3751490	84736582	268345614	37204439	118935284
48	native	15240	55570	438149	1590018	1161071	3785966	80813617	270263698	35441585	119841082
49	introduced	15934	55060	469304	1580768	1214691	3758866	84715411	268383484	37192924	118943010
49	native	15277	55686	438834	1592590	1162666	3792916	80795742	270299716	35432832	119849130
4	introduced	15908	55034	468380	1577650	1213531	3754946	84748935	268464712	37137898	118764014
4	native	15249	55640	438052	1589518	1161790	3789198	80831074	270386214	35382108	119667900
50	introduced	15953	55382	470953	1586272	1217410	3767694	84673541	268274540	37045811	118485504
50	native	15296	56008	440514	1598312	1165465	3801852	80757604	270196160	35292958	119390916
51	introduced	16025	55384	468535	1579248	1210478	3747580	84808069	268785744	37215604	119046744
51	native	15365	55982	438087	1591008	1158839	3781444	80880472	270711402	35453571	119955428
52	introduced	16081	55714	473487	1594950	1225641	3793500	85594526	271172092	37520133	119985216
52	native	15409	56336	442855	1606978	1173448	3827982	81636957	273113998	35745295	120901184
53	introduced	15887	55032	468683	1578134	1213260	3755538	84789530	268706500	37124345	118769804
53	native	15231	55656	438278	1589874	1161414	3789306	80862637	270627502	35366526	119674894
54	introduced	15958	55250	470414	1584014	1215095	3761186	84661266	268257946	37103934	118678882
54	native	15295	55862	439852	1595970	1163045	3795404	80734938	270177842	35344107	119583176
55	introduced	15984	55458	471234	1586650	1219477	3774294	84775876	268576780	37089665	118607410
55	native	15324	56068	440793	1598586	1167653	3808696	80865826	270505464	35339797	119515754
56	introduced	15995	55466	470115	1583064	1218396	3770560	84754123	268425712	37073746	118513114
56	native	15318	56078	439738	1595138	1166374	3804924	80843562	270346964	35324162	119418650
57	introduced	16034	55484	469778	1582670	1216651	3764070	84676507	268213854	37075684	118553404
57	native	15363	56102	439430	1594544	1164735	3798356	80765229	270132744	35325218	119457378
58	introduced	15996	55472	471264	1587558	1219494	3774322	84675127	268223584	36907670	118016360
58	native	15329	56088	440748	1599666	1167732	3808776	80760782	270140516	35163067	118916374
59	introduced	15892	55086	467035	1573448	1214574	3759236	85213691	269980120	37379356	119540326
59	native	15243	55714	436990	1585576	1163024	3793652	81271749	271913638	35611087	120451930
5	introduced	15997	55428	471246	1587216	1219613	3773712	84760250	268440908	37139496	118752840
5	native	15322	56046	440843	1599246	1167673	3808284	80835602	270369346	35381170	119661624
60	introduced	15776	54766	465440	1568674	1201229	3720462	84836716	268856440	37269233	119198526
60	native	15143	55388	435247	1580416	1150366	3753636	80912963	270788026	35504861	120112552
61	introduced	15883	54918	463747	1562706	1207467	3736578	84667706	268260670	37171410	118881638
61	native	15185	55530	433644	1574070	1155990	3770314	80759025	270189306	35415032	119791828
62	introduced	15873	55032	468604	1578070	1208548	3742984	84661620	268336142	37173885	118917544
62	native	15233	55646	438366	1589992	1157653	3777240	80767078	270264396	35422230	119829610
63	introduced	15950	55236	469700	1581094	1216119	3762390	84786717	268525356	37113940	118633430
63	native	15296	55864	439304	1593090	1164517	3796688	80862289	270459998	35356479	119544066
64	introduced	15965	55272	469531	1581510	1212822	3753032	84744421	268463092	37154803	118827826
64	native	15294	55892	439249	1593350	1161110	3787068	80827914	270387444	35398693	119734852
65	introduced	15868	54998	468425	1576006	1212577	3749594	84881059	268749084	37293676	119220042
65	native	15199	55616	437937	1587914	1161036	3783668	80963244	270679454	35531391	120132924
66	introduced	15969	55328	471962	1589250	1221954	3780746	85405938	270521188	37456874	119771710
66	native	15297	55926	441481	1601266	1170042	3815174	81461521	272461736	35686499	120687078
67	introduced	16007	55336	469395	1581078	1215972	3763290	84808843	268621856	37081283	118551928
67	native	15335	55954	439268	1593130	1163999	3797666	80884744	270548248	35325277	119457012
68	introduced	15990	55408	469847	1582508	1215637	3762480	84685675	268267672	37080676	118558072
68	native	15309	56014	439483	1594532	1164031	3796918	80772990	270189724	35325979	119463354
69	introduced	16003	55482	471363	1587502	1219788	3774700	84760285	268466922	37079783	118550208
69	native	15354	56114	440997	1599424	1167946	3808802	80848686	270377774	35329163	119448066
6	introduced	15887	54994	466540	1570444	1211278	3748382	84734984	268407014	37305104	119279568
6	native	15253	55614	436434	1582042	1159919	3782648	80814071	270335696	35538823	120191706
70	introduced	16014	55442	470591	1584736	1217821	3768668	84694333	268246426	36978473	118204808
70	native	15359	56066	440177	1596614	1166143	3803024	80780318	270162508	35229824	119103090
71	introduced	15959	55318	470573	1585202	1216716	3765404	84652532	268208032	37135507	118758572
71	native	15310	55938	440216	1597134	1164996	3799644	80746303	270134556	35380585	119666206
72	introduced	15981	55388	470818	1586250	1217753	3770574	85142332	269785384	37333769	119400704
72	native	15310	56006	440354	1598146	1165985	3804930	81207294	271718836	35567742	120313288
73	introduced	16008	55410	470921	1586204	1216976	3766702	84776824	268619354	37110988	118699898
73	native	15336	56018	440492	1598292	1165295	3801138	80855149	270536328	35353462	119602920
74	introduced	15998	55452	471053	1585878	1217587	3768274	84689425	268275584	37097113	118632184
74	native	15341	56070	440468	1597806	1165415	3802392	80754245	270192028	35333462	119534494
75	introduced	16011	55440	470157	1584168	1216548	3764304	84740081	268436692	37161697	118817122
75	native	15343	56062	439889	1596040	1164531	3798552	80821762	270359592	35401772	119724170
76	introduced	15904	55160	468814	1578874	1211418	3750060	84682463	268323696	37243905	119120036
76	native	15225	55780	438500	1591024	1159953	3784464	80772714	270249866	35485933	120031540
77	introduced	15984	55260	469759	1582524	1213310	3755340	84673189	268325518	37129360	118773326
77	native	15326	55886	439291	1594542	1161099	3789462	80754886	270253610	35370701	119682700
