Jackknife	Origin	HIGH	MODERATE	LOW	MODIFIER	Total_Alleles	Intergenic_Alternate	Intergenic_Total
42	native	11992	399510	1115726	64762301	66289529	392042	1176540
43	introduced	12364	420934	1164185	67948793	69546276	410831	1177728
43	native	11990	399285	1115722	64832148	66359145	392298	1177728
44	introduced	12449	423622	1172598	68600198	70208867	415405	1190844
44	native	12079	401896	1123710	65456316	66994001	396722	1190844
45	introduced	12337	419881	1163412	68031254	69626884	411895	1179708
45	native	11973	398497	1115125	64921112	66446707	393425	1179708
46	introduced	12397	419687	1163523	67859416	69455023	410207	1175676
46	native	12033	398223	1114963	64742468	66267687	391642	1175676
47	introduced	12352	420771	1165590	67913076	69511789	411892	1180392
47	native	11981	399180	1116948	64796670	66324779	393253	1180392
48	introduced	12324	419580	1160581	67894981	69487466	411741	1180332
48	native	11952	398012	1112137	64774019	66296120	393163	1180332
49	introduced	12362	420001	1162033	67869135	69463531	411308	1180092
49	native	12016	398347	1113457	64760189	66284009	392897	1180092
4	introduced	12305	418620	1160951	67904155	69496031	411052	1180044
4	native	11946	397094	1112549	64793350	66314939	392602	1180044
50	introduced	12351	421772	1165429	67886643	69486195	410363	1176936
50	native	11984	400186	1116752	64773035	66301957	392031	1176936
51	introduced	12384	419824	1159925	68059329	69651462	412414	1181784
51	native	12022	398285	1111510	64938342	66460159	393781	1181784
52	introduced	12455	424084	1173620	68629323	70239482	415523	1191276
52	native	12089	402328	1124688	65484416	67023521	396830	1191276
53	introduced	12316	420306	1163129	68049589	69645340	411431	1180272
53	native	11968	398649	1114419	64929004	66454040	392961	1180272
54	introduced	12370	421099	1163301	67874677	69471447	410895	1178112
54	native	12001	399353	1114477	64758640	66284471	392390	1178112
55	introduced	12366	421886	1167360	67935476	69537088	410649	1177116
55	native	12009	400279	1118723	64827614	66358625	392201	1177116
56	introduced	12384	420606	1165829	67893344	69492163	410026	1175412
56	native	12020	399033	1117083	64782405	66310541	391600	1175412
57	introduced	12416	420986	1165269	67894409	69493080	410546	1176720
57	native	12054	399394	1116616	64781852	66309916	392117	1176720
58	introduced	12396	421887	1167671	67951843	69553797	408840	1171932
58	native	12031	400206	1118989	64833709	66364935	390480	1171932
59	introduced	12320	419295	1164088	68322191	69917894	413861	1186968
59	native	11957	397905	1115526	65189018	66714406	395291	1186968
5	introduced	12388	421889	1167375	67906922	69508574	410595	1179396
5	native	12021	400280	1118689	64784471	66315461	392160	1179396
60	introduced	12294	417660	1152467	68112182	69694603	413171	1184148
60	native	11948	396180	1104542	64988119	66500789	394601	1184148
61	introduced	12281	415909	1156116	67891864	69476170	411393	1180032
61	native	11903	394450	1107750	64780219	66294322	392914	1180032
62	introduced	12256	418883	1155800	67814414	69401353	411432	1179756
62	native	11914	397574	1108411	64731866	66249765	393075	1179756
63	introduced	12364	420477	1163791	67918369	69515001	410532	1177164
63	native	12013	399039	1115613	64810325	66336990	392123	1177164
64	introduced	12337	420237	1160962	67904127	69497663	411261	1178520
64	native	11968	398659	1112505	64795561	66318693	392829	1178520
65	introduced	12284	419594	1160808	68043724	69636410	412862	1183260
65	native	11903	398002	1112380	64930907	66453192	394266	1183260
66	introduced	12353	422714	1170485	68475995	70081547	414882	1189104
66	native	11996	401092	1121761	65342891	66877740	396294	1189104
67	introduced	12390	420631	1164744	68054056	69651821	411289	1177560
67	native	12027	399127	1115940	64924772	66451866	392701	1177560
68	introduced	12384	420699	1163582	67922812	69519477	410679	1176888
68	native	12020	399105	1115218	64811617	66337960	392185	1176888
69	introduced	12372	421929	1167475	67914200	69515976	410279	1176348
69	native	12027	400319	1118888	64806516	66337750	391737	1176348
6	introduced	12260	417276	1158807	67882064	69470407	412797	1184676
6	native	11920	395863	1110516	64766453	66284752	394207	1184676
70	introduced	12420	421287	1165741	67878021	69477469	409345	1172508
70	native	12070	399649	1117158	64761229	66290106	390976	1172508
71	introduced	12328	421635	1165596	67907457	69507016	411492	1179876
71	native	11993	400047	1117064	64802031	66331135	392896	1179876
72	introduced	12403	422059	1167474	68303032	69904968	413831	1185732
72	native	12044	400460	1118905	65175934	66707343	395259	1185732
73	introduced	12398	421650	1164705	67995017	69593770	411261	1178664
73	native	12037	400053	1116294	64878551	66406935	392568	1178664
74	introduced	12393	422039	1165736	67925392	69525560	411078	1177692
74	native	12027	400286	1116892	64801407	66330612	392463	1177692
75	introduced	12386	420751	1164847	67902161	69500145	411521	1179396
75	native	12021	399262	1116059	64789604	66316946	392935	1179396
76	introduced	12293	419040	1158983	67841979	69432295	412289	1181904
76	native	11924	397538	1110704	64736872	66257038	393848	1181904
77	introduced	12369	420940	1162675	67926514	69522498	411216	1179228
77	native	12022	399300	1113864	64812357	66337543	392786	1179228
78	introduced	12355	421557	1168249	68492184	70094345	415027	1189704
78	native	11996	399820	1119315	65352598	66883729	396375	1189704
79	introduced	12337	421155	1165402	67987953	69586847	410971	1177884
79	native	11969	399532	1116817	64870090	66398408	392522	1177884
7	introduced	12241	419339	1161669	67865689	69458938	411127	1180488
7	native	11868	397709	1112891	64752876	66275344	392497	1180488
80	introduced	12416	420768	1164191	67891394	69488769	410718	1177572
80	native	12051	399291	1115811	64780590	66307743	392160	1177572
81	introduced	12381	420589	1165767	67900110	69498847	409760	1175088
81	native	12019	399061	1117254	64786668	66315002	391219	1175088
82	introduced	12387	422411	1167939	67927604	69530341	410277	1174788
82	native	12031	400799	1119075	64817706	66349611	391872	1174788
83	introduced	12398	422219	1169206	68272078	69875901	413483	1184580
83	native	12030	400499	1120346	65143742	66676617	394866	1184580
84	introduced	12260	417204	1157081	68038126	69624671	412459	1182132
84	native	11909	395635	1108537	64911803	66427884	393821	1182132
85	introduced	12346	419237	1164529	67903825	69499937	411656	1179996
85	native	0	0	0	0	0	0	0
86	introduced	12409	422012	1166736	67878271	69479428	411103	1178964
86	native	12037	400401	1118202	64773836	66304476	392556	1178964
87	introduced	12386	420203	1161993	67964939	69559521	411930	1180668
87	native	12020	398721	1113431	64851287	66375459	393366	1180668
88	introduced	12425	423701	1172558	68476261	70084945	414695	1188528
88	native	12061	401975	1123667	65337107	66874810	396027	1188528
89	introduced	12329	419789	1160333	68067851	69660302	412396	1182228
89	native	11965	398343	1112040	64949676	66472024	393851	1182228
8	introduced	12321	421031	1164807	67856239	69454398	410139	1178724
8	native	11962	399472	1116361	64754376	66282171	391639	1178724
90	introduced	12218	418967	1154927	67888705	69474817	412715	1183032
90	native	11866	397653	1107054	64778386	66294959	394207	1183032
91	introduced	11961	408400	1144822	67953111	69518294	413042	1183992
91	native	11591	387073	1096602	64834776	66330042	394528	1183992
92	introduced	12055	413787	1146361	68091260	69663463	413192	1183944
92	native	11725	392533	1098037	64966573	66468868	394588	1183944
93	introduced	12357	418991	1157974	67936981	69526303	412270	1181376
93	native	11987	397342	1109402	64820052	66338783	393801	1181376
94	introduced	12290	419646	1159185	67892376	69483497	411199	1179516
94	native	11927	398062	1111189	64790730	66311908	392858	1179516
95	introduced	12157	416295	1152097	67809304	69389853	411200	1179048
95	native	11805	394925	1104416	64708487	66219633	392718	1179048
96	introduced	12352	420011	1157944	68013450	69603757	412174	1181280
96	native	11975	398303	1109593	64895547	66415418	393632	1181280
97	introduced	12047	418351	1153576	67855627	69439601	412077	1181604
97	native	11670	396664	1105192	64729374	66242900	393460	1181604
98	introduced	12306	419621	1159551	67830730	69422208	409667	1175292
98	native	11947	398036	1111168	64718305	66239456	391215	1175292
99	introduced	12341	421172	1163178	67930783	69527474	411058	1177848
99	native	11967	399476	1114537	64814878	66340858	392516	1177848
9	introduced	12353	420840	1162381	67902141	69497715	410574	1179060
9	native	11999	399251	1114006	64789066	66314322	392113	1179060
