Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
82	introduced	8353	41060	282699	1344952	751589	3559396	42717186	212202530	23394261	115597884
82	native	4841	29842	164218	975108	434189	2580574	24728655	153693562	13564867	83730268
83	introduced	8338	41198	282678	1344930	751762	3563440	42893613	213328168	23514526	116381814
83	native	4834	29930	164191	975018	434269	2583490	24838263	154504810	13641589	84295284
84	introduced	8279	40816	278318	1328290	742426	3525804	42710413	212581270	23440823	116091058
84	native	4800	29648	161892	962872	429041	2555952	24739550	153958896	13603915	84082562
85	introduced	8319	41016	280574	1336624	749301	3550132	42702654	212150928	23458253	115928742
85	native	4833	29806	163139	969032	433030	2573964	24733341	153654384	13608799	83968102
86	introduced	8304	41110	282447	1343930	750727	3556296	42663635	212125784	23423561	115863762
86	native	4814	29860	164116	974330	433612	2578324	24701913	153637750	13588843	83922018
87	introduced	8334	41148	280919	1337920	745994	3541000	42658368	212271544	23451290	116021754
87	native	4825	29892	163111	969940	430980	2567288	24712876	153740154	13608254	84034190
88	introduced	8371	41264	283632	1349974	754597	3574646	43040664	213971336	23606984	116753784
88	native	4849	29982	164766	978640	435875	2591594	24921703	154972098	13692558	84566148
89	introduced	8274	40872	280820	1336686	745956	3535854	42768418	212708024	23452467	116065614
89	native	4795	29708	163133	969140	430900	2563530	24757559	154057184	13600924	84067950
8	introduced	8302	40932	282344	1342718	751041	3554380	42801884	212372576	23474161	115849476
8	native	4810	29732	164179	973458	434066	2577004	24791041	153820314	13620030	83913904
90	introduced	8224	40552	280475	1334214	743124	3518596	42695867	212135450	23457688	116001758
90	native	4768	29468	162919	967226	428948	2550942	24714150	153642162	13602840	84020704
91	introduced	7871	39392	272073	1298864	733605	3486484	42658211	212261780	23401248	115861388
91	native	4536	28606	157451	941398	423181	2527644	24679530	153729602	13563810	83917562
92	introduced	8123	40216	276729	1317834	737306	3493422	42764176	212732376	23455741	116117280
92	native	4691	29208	160698	955274	425596	2532074	24752202	154064970	13599297	84099964
