Jackknife_ID	Sum_fxy_HIGH	Sum_fyx_HIGH	Sum_fxy_MODERATE	Sum_fyx_MODERATE	Sum_fxy_LOW	Sum_fyx_LOW	Sum_fxy_MODIFIER	Sum_fyx_MODIFIER	Sum_fxy_INTERGENIC	Sum_fyx_INTERGENIC
100	364.039425	235.503710	12293.208145	8195.127192	31674.656567	20543.580377	1817521.835023	1182608.139786	998072.205052	652217.840765
101	359.225655	233.586369	12122.137183	8071.181230	31082.492272	20153.087510	1803317.384725	1172702.064488	990866.421778	647064.296777
102	360.316885	232.838313	12088.414187	8043.254663	31055.862708	20101.060327	1802206.593217	1171405.712266	990892.098356	646938.130497
103	362.709107	235.944821	12204.346528	8131.022718	31428.270030	20363.880744	1803149.003971	1171876.826591	992312.561312	648071.292263
104	364.946488	236.829821	12311.623770	8208.703532	31723.607897	20572.595992	1820949.980003	1184570.613337	999888.292066	653248.131350
105	359.451349	233.197778	12103.571002	8084.571002	31161.199940	20268.684464	1800633.088208	1173186.771542	989529.697810	647611.906142
106	361.982202	235.472679	12247.738710	8166.606567	31544.130119	20463.225357	1801948.734071	1172451.879309	987581.923346	645178.594773
107	359.083492	230.637063	12147.185804	8086.856042	31241.992063	20225.084921	1804479.089626	1173210.859865	991708.225965	647599.655725
108	364.696488	236.579821	12314.499663	8210.585377	31727.924861	20577.154623	1821181.657751	1184807.081561	1000076.419735	653413.625685
109	358.328472	233.782044	12074.080565	8058.291280	30953.656944	20092.427183	1807655.192206	1175680.618397	993492.653623	648864.295289
10	363.809583	235.978631	12254.123750	8173.240417	31525.137956	20454.948671	1810676.435053	1178448.411244	995182.098197	650460.062481
11	360.623373	234.188849	12164.602063	8123.262778	31287.652798	20335.339702	1803672.904180	1174043.755371	990684.306738	647532.697213
12	359.678631	235.102440	12143.588085	8129.444038	31395.720546	20396.076498	1801400.220261	1173119.813119	989456.076679	646896.131439
13	356.027044	232.628234	12171.008194	8122.580813	31333.349474	20337.562569	1803283.109934	1173328.956363	990890.646312	647760.410596
14	363.947232	236.390089	12257.323294	8176.110198	31564.600417	20477.517083	1803104.149349	1173780.818396	990264.650905	647358.603285
15	359.750456	234.969504	12172.615675	8133.138294	31416.664663	20382.030139	1800819.222513	1172386.959418	988118.940082	646112.286509
16	360.909385	234.252242	12219.938710	8148.404187	31449.498611	20410.470040	1802145.894120	1173377.197692	991116.162363	647881.504029
17	364.489147	236.279623	12272.868671	8184.571052	31584.579573	20492.373621	1801087.104160	1171661.518446	988252.338455	645421.380120
18	357.710972	229.587163	12083.136746	8021.655794	31191.194563	20183.401706	1803612.173902	1172449.126283	990737.152135	646879.112848
19	355.157857	230.517381	11798.125228	7827.841895	31038.085347	20068.469871	1811270.280241	1177148.433813	994979.666282	649402.890090
1	361.593313	234.869504	12236.536310	8168.664881	31459.660198	20431.751865	1808193.418426	1177374.100569	992613.385340	649171.997243
20	361.641726	235.122679	12196.735853	8133.819187	31487.609315	20424.397411	1804290.897890	1174114.095510	990129.109050	646990.313810
21	364.211369	236.380417	12256.906548	8177.955357	31583.092996	20486.665615	1801157.730737	1172298.398595	986185.540181	644794.746132
22	362.744702	236.578036	12239.096786	8164.943214	31512.206687	20450.857877	1801188.724120	1172860.526502	988090.572542	646010.735636
23	364.355218	235.548075	12250.598155	8165.538631	31569.566944	20481.731230	1802211.145589	1172655.209875	987108.318921	645310.758205
24	361.771389	235.801151	12210.982718	8150.575575	31473.896210	20424.347401	1802546.190678	1173581.995440	990624.088971	647763.849683
25	361.864623	235.674147	12172.614940	8138.201845	31411.801558	20400.014653	1801358.050083	1173521.621512	988742.131252	646932.661013
26	363.861171	236.096885	12231.925317	8156.856270	31504.958988	20431.562560	1802078.649745	1172675.274746	991064.652135	647864.886658
27	360.187758	234.860377	12224.582163	8159.888115	31425.202599	20399.537123	1799986.292662	1172350.215281	989632.307393	647258.801439
28	361.098869	235.000060	12226.824226	8165.536131	31466.517560	20423.529464	1809765.811878	1178128.403545	994169.671302	649829.374872
29	362.423869	234.609583	12155.681607	8085.536369	31318.364712	20266.089712	1807070.964220	1174574.607077	994364.956609	649016.601846
2	363.459385	235.860575	12271.524802	8179.912897	31571.450417	20467.319464	1808540.251610	1176438.193277	991964.163494	648015.707541
30	361.959385	234.887956	12179.287718	8118.693671	31350.826349	20361.728730	1801521.223108	1172666.607633	990843.820042	647422.540279
31	362.224762	234.147381	12217.418591	8127.104306	31548.345397	20428.213254	1803670.335043	1170782.645758	989724.007244	645128.784624
32	361.503869	234.456250	12257.010020	8164.933829	31571.645615	20469.739663	1803651.034418	1172426.064180	987760.635211	644792.119733
33	364.615536	236.651250	12243.075179	8156.798988	31517.754851	20428.865565	1802707.029745	1171323.204746	989896.683385	645931.002431
34	362.398373	233.299563	12209.367857	8141.325000	31447.404821	20407.122679	1801241.787444	1171935.169587	988027.055419	645558.380418
35	363.451845	235.889940	12270.008155	8187.260536	31571.446885	20498.458790	1798874.824805	1171691.950996	983349.268187	643676.768185
36	364.946488	236.829821	12310.649544	8206.373353	31711.410149	20563.220863	1812122.878843	1178520.733605	991955.962859	647765.190239
37	362.777440	235.858393	12195.390000	8132.100714	31376.771429	20347.770238	1803978.794358	1173548.707454	992208.532125	648176.559505
38	363.988155	235.907202	12255.347302	8166.428254	31532.653978	20464.796835	1802548.825847	1172968.237752	989926.666064	647033.314872
39	363.144901	235.640139	12234.442937	8157.338175	31525.258323	20457.896419	1801120.954061	1172976.163585	989962.455121	647315.250358
3	362.870298	235.948869	12272.286607	8179.499702	31628.976071	20503.929643	1809541.816660	1177032.494041	993624.062304	649147.087302
40	364.708393	236.544107	12247.614464	8168.668036	31546.270992	20461.835278	1802716.138356	1172652.381214	991065.719477	647339.062332
41	359.406091	233.001329	12199.570774	8134.227917	31386.634266	20384.173552	1800336.850718	1172254.025718	989738.701223	647378.464316
42	361.103631	234.781012	12226.756716	8157.936478	31450.744742	20417.820933	1799708.609666	1171177.218000	987520.981322	645586.022987
43	360.512163	234.697877	12200.572520	8130.926091	31423.565337	20373.660575	1801464.395549	1172693.333644	988868.693266	646564.369455
44	364.334187	236.448472	12305.343631	8204.963869	31696.481389	20558.464722	1820464.220698	1184353.146889	999633.201163	653140.015447
45	362.154425	234.580615	12205.664554	8128.306220	31442.890546	20400.725069	1803361.946809	1172562.370619	990134.908732	646428.006350
46	361.649464	234.910179	12186.839464	8129.950179	31479.167827	20403.115446	1800708.508039	1171047.838992	987391.111282	644765.758900
47	362.654821	235.425060	12227.127292	8141.755863	31532.852530	20422.070387	1802588.382821	1171566.912583	990655.801520	646777.124138
48	362.015536	233.489345	12192.628194	8116.844861	31386.372143	20363.407857	1801364.273585	1172845.185490	990046.222988	647400.874177
49	361.983790	234.293313	12203.347242	8135.888909	31433.747232	20380.584137	1802271.991432	1172132.561670	990343.635905	647193.757332
4	363.387560	236.149464	12219.474940	8154.192798	31514.977837	20422.730218	1808990.664616	1176480.211045	993223.009923	648821.581350
50	363.519901	236.307996	12256.294246	8172.252579	31522.909504	20452.430933	1802861.991065	1172215.460113	988583.310598	645440.076072
51	362.596885	234.792123	12183.949226	8114.564702	31331.265278	20301.617659	1804199.433446	1173215.788208	991258.439050	647341.597382
52	364.946488	236.829821	12316.473869	8212.190536	31728.758194	20578.321290	1821357.103485	1184903.776105	1000132.838187	653443.260805
53	361.634028	235.100694	12193.080218	8126.120694	31406.558839	20346.020744	1804360.266958	1173371.025291	990387.575280	646718.146707
54	362.524464	234.155417	12234.611250	8153.873155	31459.658373	20388.078611	1802748.605757	1171681.983139	990710.960151	646444.429197
55	361.933393	235.735774	12241.037163	8168.257401	31567.914077	20476.445030	1803214.256710	1173182.868615	988551.907115	645868.863066
56	363.198631	236.103393	12227.315536	8152.715536	31546.830119	20457.487262	1802589.516025	1173049.046978	988462.355975	646143.615497
57	363.888552	235.529028	12229.634464	8149.785655	31511.379802	20423.554802	1802379.368029	1172113.858506	989267.426014	646307.087918
58	363.587956	236.137956	12255.825357	8172.803929	31567.356250	20469.234821	1801010.450747	1171151.432891	985694.578484	643595.803483
59	357.881558	232.564891	12148.073393	8089.684107	31419.315942	20362.218323	1812187.458049	1178684.893764	995197.789794	650307.444554
5	362.863750	235.208988	12279.183393	8187.579821	31615.789444	20498.066825	1808287.897543	1176532.378496	993322.287909	648878.135527
60	357.650655	231.837560	12085.505853	8057.441567	31044.081260	20136.363403	1804859.302017	1173601.394875	991787.582820	647608.382818
61	358.211369	233.970893	12057.159226	8048.979464	31236.801290	20268.101290	1801295.994229	1171376.864468	989042.009467	645965.074941
62	359.354127	233.987460	12179.372024	8124.525595	31304.004266	20326.918552	1800133.238743	1172289.379220	989378.720528	646824.791955
63	363.002143	235.036667	12235.818194	8156.161052	31513.505496	20416.665020	1803654.708476	1173664.395381	989305.978147	646761.687670
64	362.177202	233.611726	12214.874762	8141.211667	31405.771250	20373.746250	1803584.511164	1172852.520688	990790.706947	646888.297422
65	362.044702	234.670893	12195.500714	8119.680476	31393.925456	20338.295694	1807202.930073	1174250.027692	993585.442592	648606.267590
66	362.073274	233.941131	12279.690734	8187.434782	31637.511349	20507.993492	1817133.182811	1181889.044716	998104.251877	652000.618543
67	361.759385	235.948671	12206.596567	8132.157282	31468.374802	20400.020040	1804472.247533	1172843.448724	989056.724109	645320.232441
68	363.209583	235.591726	12226.855615	8154.547282	31508.253829	20428.782401	1803593.318694	1172757.585361	989683.216322	646332.493701
69	361.974861	235.422480	12266.158145	8178.259335	31590.359563	20478.107183	1805204.967047	1173193.542047	990483.955806	646421.728424
6	362.585179	234.099464	12188.860833	8134.273929	31459.148919	20402.269157	1808391.286472	1176369.590043	994757.096669	650015.747858
70	364.079821	236.346488	12240.572837	8160.651409	31535.191488	20441.214107	1802072.370152	1172185.477295	986883.571461	644742.075031
71	361.013393	234.737202	12241.979504	8158.998552	31508.490724	20421.484772	1800755.970777	1171441.742206	989546.877463	646728.016747
72	364.364742	236.098075	12253.369603	8178.901746	31552.450972	20475.033115	1811022.361630	1179016.227107	994354.544566	650208.164803
73	363.921091	235.940139	12238.595486	8150.850248	31482.392986	20405.146558	1802719.237325	1172123.392087	989708.941897	646457.871658
74	362.935972	235.821687	12251.912579	8161.850675	31531.289881	20443.858929	1802667.166789	1171285.982266	989885.354159	646039.120824
75	364.211369	234.899464	12228.153750	8151.966845	31514.888552	20426.837361	1803946.948198	1171964.749389	991427.770012	646748.780725
76	360.544702	234.775655	12176.845139	8130.783234	31355.596944	20353.721944	1800844.114686	1172226.921829	990872.743663	647663.624614
77	362.377440	235.488155	12210.361746	8155.010556	31357.784345	20382.871250	1800832.842126	1172834.257603	989934.954586	647080.990299
78	361.791964	234.705060	12220.670238	8151.652381	31542.069861	20468.772242	1816480.279160	1182143.269637	997810.029506	652170.940219
79	361.916329	233.904425	12241.129246	8157.613770	31502.541022	20412.738641	1803300.650162	1172298.251353	989088.332096	645975.663047
7	362.163155	234.413155	12216.163204	8159.997728	31498.296409	20443.929742	1807537.552900	1176764.352900	992489.376788	649025.705358
80	362.475456	234.543313	12213.547480	8152.176052	31481.899702	20425.866369	1802147.616977	1173195.116978	989398.702820	647003.932580
81	364.116131	236.207798	12217.865099	8151.017480	31524.035615	20462.595139	1801091.997364	1173330.214031	986409.335111	645559.633920
82	363.660774	235.550060	12262.206587	8175.480397	31562.965655	20467.518036	1802402.160003	1171551.721908	988291.354546	644845.948592
83	363.375060	236.060774	12266.197004	8179.139861	31595.504980	20498.696647	1811088.997196	1178268.866244	994067.495945	649551.605467
84	360.759583	233.942917	12059.875516	8056.985040	31166.691567	20231.333234	1802271.219706	1173311.322087	990320.512413	647683.485031
85	362.006012	236.060774	12160.321329	8119.526091	31472.329345	20430.787679	1801756.379864	1172881.415579	991104.965320	647705.317699
86	361.855020	235.355020	12249.713720	8172.020863	31540.872500	20456.851071	1801175.025857	1171983.055619	990115.454903	647257.445378
87	363.122440	235.774821	12199.364940	8131.953036	31355.776726	20351.830298	1800555.631025	1172400.460787	990955.255201	647820.717104
88	364.660774	236.544107	12302.765456	8205.810694	31700.395734	20562.104067	1816980.692027	1181960.017027	997767.693772	651714.781866
89	360.423869	233.790536	12188.518651	8124.904365	31329.069147	20309.890575	1805576.240013	1174005.597157	991286.081123	647349.713265
8	361.357202	235.195298	12249.114524	8182.975238	31549.785952	20480.546667	1807236.769577	1176783.346958	992434.715399	648940.752302
90	358.145595	232.725357	12156.305546	8109.575784	31213.028323	20231.519990	1801527.277692	1171767.857454	991118.537463	647450.662461
91	342.594286	220.976429	11803.984315	7817.047411	30807.492758	19930.847520	1800260.913277	1169508.458516	988692.002433	645090.710765
92	353.179365	227.278175	11996.629325	7980.369802	30945.220486	20033.124058	1804357.282910	1172879.915053	990832.088653	646660.173175
93	360.082202	234.372679	12166.864653	8120.067034	31261.600476	20281.282619	1800389.362672	1170978.071006	990253.592502	646690.681787
94	359.928472	233.554663	12212.698512	8145.890179	31408.724464	20348.239940	1802813.652523	1173093.116809	990485.174854	647441.320090
95	357.462758	233.762758	12106.295278	8079.439325	31219.264405	20260.654881	1801673.917463	1171553.656750	990044.614169	646368.996310
96	361.793313	233.419504	12184.703353	8106.177163	31277.147381	20248.292619	1803819.911620	1171931.339002	991301.870161	647025.046350
97	352.527837	230.940933	12129.439901	8096.712520	31111.401071	20203.490357	1798061.411402	1170358.937593	989764.630746	646862.218840
98	361.089861	233.785099	12180.573591	8133.973591	31349.951190	20359.051190	1799779.548793	1171804.959508	986873.565766	645196.619336
99	361.824663	234.355615	12207.940655	8150.777560	31447.319742	20405.547123	1800429.013108	1172179.073823	987454.360806	645585.373900
9	361.954226	235.204226	12265.259206	8186.385397	31524.137044	20465.175139	1807401.559606	1176393.548893	991722.900895	648219.519941
