Jackknife	Sample	MODIFIER	Total_Alleles
26	VT27	71961	94053
26	CW2214	48443	95164
26	BU04	44993	92056
26	GC30	65328	89805
26	DL2524	70201	90012
26	VT29	67713	88458
26	DL23523	72768	93125
26	PZ29	35659	95148
26	LI04	20583	94062
26	WE2430	35993	95455
26	WS04	72972	93855
26	WE2431	36323	94708
26	WS05	72371	92817
26	BB10	67727	88649
26	VG21	69418	91799
26	CE29	72201	95403
26	CA14	64456	89224
26	FC11	21249	95499
26	MM27	66558	91659
26	NF30	69877	90456
26	MI21	34443	95984
26	FU14	65131	91181
26	BB13	67362	87906
26	WB20	28139	94269
27	SH2514	71729	93729
27	NF24	71690	92612
27	WB13	31314	95438
27	CW2212	41965	92080
27	SH2515	71924	93503
27	VR14	40124	92784
27	DN26	32594	93089
27	BU1031	43336	89822
27	VT27	72059	94136
27	CW2214	48513	95221
27	BU04	44913	92080
27	GC30	65336	89866
27	DL2524	70231	90080
27	VT29	67767	88521
27	DL23523	72813	93191
27	PZ29	35583	95208
27	LI04	20574	94100
27	WE2430	35936	95515
27	WS04	73049	93939
27	WE2431	36194	94738
27	WS05	72460	92885
27	BB10	67732	88709
27	VG21	69469	91873
27	CE29	72227	95478
27	CA14	64497	89293
27	FC11	21222	95547
27	MM27	66634	91734
27	NF30	69935	90521
27	MI21	34362	96037
27	FU14	65179	91265
27	BB13	67356	87955
27	WB20	28110	94301
28	SH2514	72041	94140
28	NF24	71966	93015
28	WB13	31531	95854
28	CW2212	42245	92485
28	SH2515	72238	93912
28	VR14	40414	93196
28	DN26	32850	93503
28	BU1031	43622	90215
28	VT27	72349	94544
28	CW2214	48773	95631
28	BU04	45206	92474
28	GC30	65662	90272
28	DL2524	70546	90483
28	VT29	68027	88931
28	DL23523	73148	93609
28	PZ29	35819	95609
28	LI04	20713	94511
28	WE2430	36162	95925
28	WS04	73361	94351
28	WE2431	36452	95159
28	WS05	72781	93300
28	BB10	68070	89116
28	VG21	69737	92263
28	CE29	72549	95893
28	CA14	64795	89682
28	FC11	21379	95968
28	MM27	66947	92147
28	NF30	70257	90932
28	MI21	34570	96454
28	FU14	65440	91651
28	BB13	67687	88345
28	WB20	28319	94707
29	SH2514	71931	93933
29	NF24	71866	92818
29	WB13	31456	95642
29	CW2212	42073	92299
29	SH2515	72124	93698
29	VR14	40250	93005
29	DN26	32620	93299
29	BU1031	43425	90026
29	VT27	72218	94343
29	CW2214	48542	95437
29	BU04	45005	92275
29	GC30	65488	90072
29	DL2524	70461	90261
29	VT29	67893	88720
29	DL23523	73017	93404
29	PZ29	35706	95422
29	LI04	20627	94323
29	WE2430	36047	95726
29	WS04	73261	94132
29	WE2431	36338	94958
29	WS05	72640	93089
29	BB10	67936	88928
29	VG21	69629	92061
29	CE29	72398	95685
29	CA14	64641	89495
29	FC11	21263	95763
29	MM27	66808	91945
29	NF30	70135	90712
29	MI21	34399	96253
29	FU14	65310	91457
29	BB13	67529	88136
29	WB20	28196	94505
30	SH2514	71800	93741
30	NF24	71722	92617
30	WB13	31371	95460
30	CW2212	42050	92111
30	SH2515	71999	93508
30	VR14	40202	92824
30	DN26	32685	93114
30	BU1031	43372	89866
30	VT27	72032	94139
30	CW2214	48401	95242
30	BU04	44940	92113
30	GC30	65410	89882
30	DL2524	70332	90091
30	VT29	67762	88546
30	DL23523	72877	93221
30	PZ29	35609	95233
30	LI04	20580	94125
30	WE2430	35912	95536
30	WS04	73104	93952
30	WE2431	36241	94775
30	WS05	72504	92900
30	BB10	67799	88746
30	VG21	69482	91879
30	CE29	72308	95486
30	CA14	64545	89305
30	FC11	21255	95577
30	MM27	66703	91750
30	NF30	69994	90550
30	MI21	34377	96058
30	FU14	65165	91254
30	BB13	67425	87980
30	WB20	28156	94324
31	SH2514	71701	93639
31	NF24	71631	92526
31	WB13	31443	95369
31	CW2212	42053	92023
31	SH2515	71882	93398
31	VR14	40221	92722
31	DN26	32576	93028
31	BU1031	43367	89769
31	VT27	71932	94029
31	CW2214	48421	95140
31	BU04	44972	92012
31	GC30	65284	89771
31	DL2524	70204	89980
31	VT29	67667	88431
31	DL23523	72776	93110
31	PZ29	35651	95126
31	LI04	20638	94031
31	WE2430	36028	95436
31	WS04	73004	93845
31	WE2431	36303	94677
31	WS05	72404	92792
31	BB10	67711	88643
31	VG21	69403	91767
31	CE29	72143	95377
31	CA14	64445	89196
31	FC11	21301	95481
31	MM27	66576	91632
31	NF30	69937	90457
31	MI21	34356	95961
31	FU14	65097	91152
31	BB13	67322	87873
31	WB20	28178	94227
32	SH2514	71691	93611
32	NF24	71643	92510
32	WB13	31367	95338
32	CW2212	42007	91995
32	SH2515	71899	93382
32	VR14	40089	92706
32	DN26	32516	92999
32	BU1031	43351	89742
32	VT27	71976	94020
32	CW2214	48351	95125
32	BU04	44939	92006
32	GC30	65316	89761
32	DL2524	70185	89979
32	VT29	67631	88411
32	DL23523	72768	93085
32	PZ29	35595	95097
32	LI04	20589	94007
32	WE2430	35982	95414
32	WS04	72992	93825
32	WE2431	36251	94656
32	WS05	72388	92773
32	BB10	67718	88627
32	VG21	69400	91743
32	CE29	72219	95363
32	CA14	64464	89200
32	FC11	21240	95459
32	MM27	66593	91623
32	NF30	69926	90450
32	MI21	34375	95944
32	FU14	65161	91135
32	BB13	67336	87852
32	WB20	28139	94208
33	SH2514	71715	93607
33	NF24	71613	92497
33	WB13	31399	95331
33	CW2212	42057	92002
33	SH2515	71872	93382
33	VR14	40176	92691
33	DN26	32531	92996
33	BU1031	43350	89722
33	VT27	71906	94008
33	CW2214	48371	95113
33	BU04	44928	91994
33	GC30	65262	89747
33	DL2524	70133	89965
33	VT29	67630	88407
33	DL23523	72728	93082
33	PZ29	35590	95094
33	LI04	20599	93990
33	WE2430	35981	95404
33	WS04	72940	93808
33	WE2431	36239	94642
33	WS05	72342	92761
33	BB10	67647	88628
33	VG21	69349	91729
33	CE29	72202	95357
33	CA14	64437	89186
33	FC11	21249	95432
33	MM27	66589	91614
33	NF30	69907	90428
33	MI21	34367	95934
33	FU14	65098	91138
33	BB13	67302	87845
33	WB20	28156	94205
34	SH2514	71580	93524
34	NF24	71460	92391
34	WB13	31404	95252
34	CW2212	41991	91887
34	SH2515	71763	93297
34	VR14	40210	92611
34	DN26	32530	92904
34	BU1031	43380	89649
34	VT27	71767	93904
34	CW2214	48289	95020
34	BU04	44944	91903
34	GC30	65193	89670
34	DL2524	70045	89867
34	VT29	67498	88327
34	DL23523	72600	92980
34	PZ29	35626	95007
34	LI04	20565	93891
34	WE2430	35921	95304
34	WS04	72814	93715
34	WE2431	36240	94565
34	WS05	72241	92669
34	BB10	67560	88530
34	VG21	69262	91652
34	CE29	72045	95251
34	CA14	64378	89107
34	FC11	21234	95347
34	MM27	66452	91533
34	NF30	69755	90324
34	MI21	34378	95826
34	FU14	64996	91046
34	BB13	67237	87778
34	WB20	28177	94098
35	SH2514	71793	93726
35	NF24	71776	92608
35	WB13	31330	95434
35	CW2212	42004	92092
35	SH2515	72013	93495
35	VR14	40130	92801
35	DN26	32664	93115
35	BU1031	43308	89850
35	VT27	72042	94117
35	CW2214	48436	95239
35	BU04	44909	92089
35	GC30	65400	89869
35	DL2524	70299	90076
35	VT29	67749	88520
35	DL23523	72886	93208
35	PZ29	35592	95208
35	LI04	20599	94113
35	WE2430	35913	95521
35	WS04	73100	93939
35	WE2431	36210	94762
35	WS05	72515	92886
35	BB10	67833	88725
35	VG21	69509	91848
35	CE29	72280	95469
35	CA14	64546	89305
35	FC11	21256	95567
35	MM27	66676	91732
35	NF30	70044	90530
35	MI21	34395	96057
35	FU14	65228	91244
35	BB13	67492	87970
35	WB20	28177	94324
36	SH2514	72205	94245
36	NF24	72099	93127
36	WB13	31547	95974
36	CW2212	42284	92607
36	SH2515	72378	94024
36	VR14	40419	93322
36	DN26	32836	93627
36	BU1031	43646	90331
