Jackknife	Origin	Alternate_HIGH	Total_HIGH	Alternate_MODERATE	Total_MODERATE	Alternate_LOW	Total_LOW	Alternate_MODIFIER	Total_MODIFIER	Alternate_INTERGENIC	Total_INTERGENIC
100	introduced	25155	69738	853846	2303542	2377197	6096558	138752419	360193190	75091761	196355166
100	native	12068	34958	402608	1150672	1131373	3047382	65774999	179938324	35577367	98106172
101	introduced	24775	68844	842898	2272612	2335493	5988982	137746435	357552124	74603576	195055966
101	native	11872	34482	397261	1135166	1111531	2993490	65299109	178622342	35345050	97459920
102	introduced	24842	68860	838141	2263104	2327077	5967246	137482640	356824566	74501905	194787122
102	native	11905	34514	395327	1130504	1108059	2983036	65169954	178258760	35296640	97324348
103	introduced	25065	69524	848266	2288494	2358747	6047222	137730079	357421784	74693545	195264854
103	native	12010	34840	399881	1143110	1122517	3022704	65288320	178558242	35387111	97562948
104	introduced	25197	69882	854812	2306490	2379593	6102998	138968182	360724484	75201328	196634664
104	native	12089	35026	403032	1152134	1132450	3050606	65874355	180203816	35627848	98245928
105	introduced	24874	68978	841600	2272852	2342954	6009742	137615085	357260974	74515642	194870360
105	native	11913	34566	396632	1135130	1114938	3003984	65228474	178473146	35301156	97364936
106	introduced	25072	69532	850438	2294206	2364540	6065368	137508622	356885698	74249258	194106268
106	native	12031	34850	400957	1145988	1125356	3031730	65185264	178281256	35179449	96979822
107	introduced	24584	68284	842038	2273552	2340413	6004686	137648125	357359168	74554630	194994340
107	native	11789	34228	397154	1135652	1113501	3000986	65244155	178523818	35319958	97426836
108	introduced	25167	69858	855001	2307292	2380064	6104570	138999155	360806680	75219094	196684476
108	native	12073	35016	403136	1152546	1132661	3051368	65889950	180244854	35636674	98270804
109	introduced	24744	68714	838136	2263094	2321158	5960008	137933196	358131276	74709047	195387192
109	native	11884	34436	395085	1130488	1104615	2979290	65385348	178912424	35394805	97624684
10	introduced	25006	69560	848294	2293546	2360890	6062756	137949683	358512790	74744051	195658276
10	native	12010	34872	400039	1145718	1123496	3030442	65392168	179099280	35411527	97758050
11	introduced	24987	69078	846424	2282014	2354179	6034100	137777266	357581498	74555295	194947962
11	native	11990	34628	399088	1139844	1120311	3016102	65308315	178632724	35320070	97402168
12	introduced	24758	69012	845314	2282572	2356426	6044306	137543955	356987826	74429213	194590664
12	native	11883	34606	398766	1140174	1121771	3021320	65206583	178337398	35265436	97223136
13	introduced	24836	68496	845114	2279156	2349786	6022668	137591002	357072130	74505633	194795520
13	native	11898	34324	398510	1138588	1118297	3010476	65222887	178376264	35298751	97325190
14	introduced	25102	69664	850333	2295528	2365182	6069220	137522134	357026686	74450256	194676308
14	native	12035	34908	400904	1146602	1125514	3033644	65188575	178350038	35271743	97264626
15	introduced	24900	69086	846268	2283308	2356132	6044232	137421512	356753036	74316638	194360106
15	native	11939	34634	399082	1140594	1121193	3021228	65133594	178222818	35205038	97111040
16	introduced	24911	69132	848553	2288432	2359287	6051162	137572313	357023874	74563456	194923790
16	native	11971	34650	400059	1143090	1123005	3024664	65217463	178356864	35327313	97392440
17	introduced	25106	69678	852304	2300010	2369537	6075718	137575389	356976584	74400885	194458152
17	native	12046	34926	401880	1148876	1127685	3036804	65218847	178331182	35250773	97159530
18	introduced	24700	68340	838826	2264260	2344859	6010434	137767204	357579706	74577267	194986190
18	native	11837	34252	395351	1130988	1115383	3004330	65299173	178635248	35329372	97423222
19	introduced	24700	68444	826664	2228262	2340742	5998762	138494052	359355510	74958929	195932068
19	native	11854	34314	389477	1112904	1113778	2998448	65643914	179521932	35508806	97894692
1	introduced	24936	69322	846252	2289034	2353820	6049254	137732331	358039802	74498751	195088950
1	native	11967	34736	399014	1143458	1120222	3023662	65291075	178866406	35296621	97476288
20	introduced	25044	69424	847831	2287172	2363577	6063120	137849315	357786890	74556332	194917906
